"ST_NM","India.Checklist.Common.Name"
"Andaman and Nicobar Islands","Andaman Teal, Nicobar Megapode, Lesser Sand Plover, Eurasian Curlew, Pintail Snipe, Terek Sandpiper, Andaman Serpent Eagle, Nicobar Sparrowhawk, Narcondam Hornbill, Black-capped Kingfisher, Andaman Woodpecker, Long-tailed Parakeet, Andaman Drongo, Andaman Treepie, Nicobar Bulbul, Pale-footed Bush Warbler, White-headed Starling, Forest Wagtail"
"Andhra Pradesh","Pale-capped Pigeon, Lesser Florican, Pied Avocet, Eurasian Oystercatcher, Grey Plover, Lesser Sand Plover, Great Knot, Terek Sandpiper, Jerdon's Courser, Brown-headed Gull, Caspian Tern, Common Tern, Black-bellied Tern, Indian Skimmer, Western Reef Egret, Short-toed Snake Eagle, Black-capped Kingfisher, Oriental Skylark, Yellow-throated Bulbul, Green Munia"
"Arunachal Pradesh","Blood Pheasant, Blyth's Tragopan, Temminck's Tragopan, Sclater's Monal, White-bellied Heron, Rufous-necked Hornbill, Wreathed Hornbill, Slender-billed Oriole, Brown-throated Fulvetta, Manipur Fulvetta, Mishmi Wren Babbler, Bar-winged Wren Babbler, Sikkim Wedge-billed Babbler, Cachar Wedge-billed Babbler, Snowy-throated Babbler, Bhutan Laughingthrush, Bugun Liocichla, Rufous-vented Laughingthrush, Beautiful Nuthatch, Large Blue Flycatcher"
"Assam","White-winged Wood Duck, Baer's Pochard, Swamp Francolin, Bengal Florican, Lesser Adjutant, Greater Adjutant, White-bellied Heron, Slender-billed Vulture, Pallas's Fish Eagle, Wreathed Hornbill, Pale-footed Bush Warbler, Jerdon's Babbler, Black-breasted Parrotbill, Marsh Babbler, Swamp Grass Babbler, Slender-billed Babbler, Chestnut-backed Laughingthrush, Spot-winged Starling, Jerdon's Bushchat, Finn's Weaver"
"Bihar","Northern Pintail, Great Crested Grebe, Lesser Adjutant, Greater Adjutant, Bank Myna"
"Chandigarh","Sirkeer Malkoha, Common Redshank, Sulphur-bellied Warbler, Spot-winged Starling"
"Chhattisgarh","Common Pochard, Tufted Duck, Great Crested Grebe, Kentish Plover, Little Ringed Plover, Indian Courser, Osprey, Short-toed Snake Eagle, Yellow-crowned Woodpecker, Great Grey Shrike, Rufous-tailed Lark, Sulphur-bellied Warbler, Thick-billed Flowerpecker, Tawny Pipit, Olive-backed Pipit"
"Dadra and Nagar Haveli","Forest Owlet, Sulphur-bellied Warbler, Blue-capped Rock Thrush, Thick-billed Flowerpecker"
"Daman and Diu","Grey Plover, Eurasian Curlew, Slender-billed Gull, Caspian Tern"
"Delhi","Black-bellied Tern, Indian Skimmer, Great White Pelican, Isabelline Shrike"
"Goa","Nilgiri Wood Pigeon, Eurasian Oystercatcher, Sanderling, Terek Sandpiper, Slender-billed Gull, Brown-headed Gull, Sandwich Tern, Malabar Grey Hornbill, Black-capped Kingfisher, White-bellied Blue Flycatcher"
"Gujarat","Ruddy Shelduck, Northern Pintail, Greater Flamingo, Macqueen's Bustard, Demoiselle Crane, Sarus Crane, Common Crane, Pied Avocet, Sociable Lapwing, Kentish Plover, Ruff, Common Redshank, Slender-billed Gull, Brown-headed Gull, River Tern, Indian Skimmer, Great White Pelican, Western Reef Egret, Stoliczka's Bushchat, Isabelline Wheatear"
"Haryana","Northern Pintail, Tufted Duck, Pied Avocet, Eurasian Curlew, Black-tailed Godwit, Ruff, Curlew Sandpiper, Dunlin, Spotted Redshank, Marsh Sandpiper, Common Redshank, Egyptian Vulture, Eastern Imperial Eagle, Isabelline Shrike, Great Grey Shrike, White-naped Tit, Bristled Grassbird, Bank Myna, Stoliczka's Bushchat, Isabelline Wheatear"
"Himachal Pradesh","Ruddy Shelduck, Common Merganser, Western Tragopan, Cheer Pheasant, Bearded Vulture, Egyptian Vulture, White-rumped Vulture, Slender-billed Vulture, Griffon Vulture, Rufous-vented Tit, Grey-crested Tit, Eurasian Crag Martin, Wallcreeper, Brown Dipper, Spot-winged Starling, Tibetan Blackbird, Rufous-gorgeted Flycatcher, Plumbeous Water Redstart, Blue-capped Rock Thrush, Olive-backed Pipit"
"Jammu and Kashmir","Ruddy Shelduck, Northern Pintail, Western Tragopan, Cheer Pheasant, Bearded Vulture, White-rumped Vulture, Sulphur-bellied Warbler, Wallcreeper, Brown Dipper, Tibetan Blackbird, Kashmir Flycatcher, Plumbeous Water Redstart, Blue-capped Rock Thrush"
"Jharkhand","Tufted Duck, Great Crested Grebe, Black-headed Gull, Lesser Adjutant, White-rumped Vulture, Indian Vulture"
"Karnataka","Nilgiri Wood Pigeon, Demoiselle Crane, Pintail Snipe, Whiskered Tern, River Tern, Sandwich Tern, Indian Spotted Eagle, Tawny Eagle, Pallid Harrier, Montagu's Harrier, Malabar Grey Hornbill, Black-capped Kingfisher, Broad-tailed Grassbird, Yellow-throated Bulbul, Pied Thrush, Nilgiri Sholakili, White-bellied Blue Flycatcher, Blue-capped Rock Thrush, Thick-billed Flowerpecker, Forest Wagtail"
